radius_m,viscosity_pa_s
3616500.0,5.256e+22
3605200.0,5.05e+22
3593900.0,4.815e+22
3582600.0,4.546e+22
3571300.0,4.241e+22
3560000.0,3.898e+22
3548700.0,3.517e+22
3537400.0,3.099e+22
3526200.0,2.649e+22
3514900.0,2.189e+22
3503600.0,1.744e+22
3492300.0,1.359e+22
3481000.0,1.05e+22
